title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
Atlas Shrugged	655	129	Q374098	Atlas Shrugged	1957 novel by Ayn Rand	Ayn Rand	1957	1957	high	accepted_overlay
Taras Bulba	656	124	Q1250822	Taras Bulba	novella by the Russian author Nikolai Gogol	Nikolai Gogol	1835	1835	high	accepted_overlay
Jabberwocky	657	100	Q250371	Jabberwocky	nonsense poem by Lewis Carroll	Lewis Carroll	1871	1871	high	accepted_overlay
Gunga Din	658	155	Q3120849	Gunga Din	poem by Rudyard Kipling	Rudyard Kipling	1892	1892	high	accepted_overlay
Like Water for Chocolate	659	101	Q1777072	Like Water for Chocolate	novel by Mexican novelist Laura Esquivel	Laura Esquivel	1989	1989	high	accepted_overlay
Rashomon	660	101	Q1076912	Rashōmon	short story by Ryūnosuke Akutagawa	Ryūnosuke Akutagawa	1915	1915	high	accepted_overlay
The Spanish Tragedy	661	129	Q1115255	The Spanish Tragedy	Play by Thomas Kyd	Thomas Kyd		""	medium	accepted_overlay
Medea	662	78	Q286381	Medea	ancient Greek tragedy by Euripides	Euripides		""	medium	accepted_overlay
The Fire Next Time	663	192	Q16385696	The Fire Next Time	1963 non-fiction anthology by James Baldwin	James Baldwin	1963	1963	high	accepted_overlay
Eugenie Grandet	664	142	Q1373644	Eugénie Grandet	1833 novel by Honoré de Balzac	Honoré de Balzac	1833	1833	high	accepted_overlay
The Rules of the Game	665	168	Q3794181	The rules of the game	play by Luigi Pirandellο	Luigi Pirandello		""	medium	accepted_overlay
The Naked and the Dead	666	143	Q646361	The Naked and the Dead	novel by Norman Mailer	Norman Mailer	1948	1948	high	accepted_overlay
Antony and Cleopatra	667	283	""	""	""	""	""	""	""	no_high_confidence_match
Pied Beauty	668	135	Q7191467	Pied Beauty	poem	Gerard Manley Hopkins		""	medium	accepted_overlay
Tropic of Cancer	669	164	Q1501700	Tropic of Cancer	1934 novel by Henry Miller	Henry Miller	1934	1934	high	accepted_overlay
The Prince and the Pauper	670	111	Q869725	The Prince and the Pauper	novel by Mark Twain	Mark Twain	1881	1881	high	accepted_overlay
A Worn Path	671	110	Q4660832	A Worn Path	short story by Eudora Welty	Eudora Welty		""	medium	accepted_overlay
Dream on Monkey Mountain	672	130	Q5306515	Dream on Monkey Mountain	play written by Derek Walcott	Derek Walcott		""	medium	accepted_overlay
Bleak House	673	94	Q883305	Bleak House	novel by Charles Dickens (1853)	Charles Dickens	1853	1853	high	accepted_overlay
Accidental Death of an Anarchist	674	132	Q2704227	Accidental Death of an Anarchist	1970 play by Dario Fo	Dario Fo	1970	1970	high	accepted_overlay
The Heights of Macchu Picchu	675	185	""	""	""	""	""	""	""	no_high_confidence_match
The Purloined Letter	676	112	Q733448	The Purloined Letter	detective story by Edgar Allan Poe	Edgar Allan Poe	1844	1844	high	accepted_overlay
Watch on the Rhine	677	132	Q7973096	Watch on the Rhine	play written by Lillian Hellman	Lillian Hellman		""	medium	accepted_overlay
The Moon and Sixpence	678	156	Q1792726	The Moon and Sixpence	1919 novel by W Somerset Maugham	William Somerset Maugham	1919	1919	high	accepted_overlay
A Separate Peace	679	98	Q4659417	A Separate Peace	novel by John Knowles	John Knowles	1959	1959	high	accepted_overlay
Boule de Suif	680	101	Q63971	Boule de Suif	1880 short story by Guy de Maupassant	Guy de Maupassant	1880	1880	high	accepted_overlay
Dejection: An Ode	681	107	Q5252726	Dejection: An Ode	poem	Samuel Taylor Coleridge	1802	1802	high	accepted_overlay
The Tempest	682	73	Q55230549	The Tempest	1997 novel by Susan Wright	Susan Wright	1997	1997	high	accepted_overlay
Sophie's Choice	683	104	Q1524588	Sophie's Choice	1979 novel by William Styron	William Styron	1979	1979	high	accepted_overlay
Pedro Paramo	684	105	Q1427966	Pedro Páramo	novel by Juan Rulfo	Juan Rulfo	1956	1956	high	accepted_overlay
Desiree’s Baby	685	135	Q3024445	Desiree's Baby	short story by Kate Chopin	Kate Chopin	1893	1893	high	accepted_overlay
Stranger in a Strange Land	686	148	Q929821	Stranger in a Strange Land	1961 novel by Robert A. Heinlein	Robert A. Heinlein	1961	1961	high	accepted_overlay
Archaic Torso of Apollo	687	163	Q15792054	Archaic Torso of Apollo	German poem, in: Poems of Rainer Maria Rilke (1918)	Rainer Maria Rilke	1918	1918	high	accepted_overlay
The Master of Go	688	175	Q2303748	The Master of Go	novel by Yasunari Kawabata	Yasunari Kawabata	1951	1951	high	accepted_overlay
Fear and Loathing in Las Vegas	689	122	Q772435	Fear and Loathing in Las Vegas	novel by Hunter S. Thompson	Hunter S. Thompson	1971	1971	high	accepted_overlay
The Hairy Ape	690	104	Q257921	The Hairy Ape	1922 play by Eugene O'Neill	Eugene O'Neill	1922	1922	high	accepted_overlay
The Diamond as Big as the Ritz	691	102	Q3548539	The Diamond as Big as the Ritz	novella by F. Scott Fitzgerald	F. Scott Fitzgerald	1922	1922	high	accepted_overlay
Il Canzoniere	692	190	Q777574	Il Canzoniere	poetry anthology by Petrarch	Petrarch	1336	1336	high	accepted_overlay
The Country of the Pointed Firs	693	103	Q7727811	The Country of the Pointed Firs	short story sequence	Sarah Orne Jewett	1896	1896	high	accepted_overlay
Book of Job	694	147	""	""	""	""	""	""	""	no_high_confidence_match
The Golden Bowl	695	144	Q1248585	The Golden Bowl	novel by Henry James	Henry James	1904	1904	high	accepted_overlay
