rank	title	total_question_count	tier	boundary_domain	boundary_reason	dominant_quizbowl_track	quizbowl_track_profile	literature_track_count	non_literature_track_count	work_form	reading_unit	region_or_tradition	suggested_action
2544	Notebook of a Return to My Native Land	39	qb_contextual	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	41	poetry	early_modern_world_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1825	Lost Horizon	38	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	48	long_fiction	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2303	One Man's Bible	38	qb_major	religion	scripture_or_religious_text_signal	literature	literature_dominant	27	8	long_fiction	postwar_literature	biblical_religious	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2193	Harry Potter and the Goblet of Fire	37	qb_major	music_performance	music_or_performance_signal	pop_culture	non_literature_context	0	36	unknown_form	contemporary_global_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1390	Poetics	36	qb_major	philosophy_social_science	philosophy_or_social_science_signal	philosophy	non_literature_context	0	31	unknown_form	unclassified_unit	greek	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1754	Roads to Freedom	36	qb_major	philosophy_social_science	philosophy_or_social_science_signal	philosophy	non_literature_context	0	33	unknown_form	postwar_literature	french	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1962	Notebook of a Return to the Native Land	36	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	41	unknown_form	early_modern_world_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2009	Symphony in Gray Major	34	qb_major	music_performance	music_or_performance_signal	other_academic	non_literature_context	0	47	poetry	poetry	indigenous_oceania	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1546	Mahabharata	31	qb_major	mythology	myth_or_oral_tradition_signal	mythology	non_literature_context	0	24	epic_or_romance	ancient_epic_scripture_myth	south_asian	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2844	Catalogue of Women	30	qb_contextual	mythology	myth_or_oral_tradition_signal	mythology	non_literature_context	0	28	poetry	poetry	greek	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2122	The Last Puritan	29	qb_major	philosophy_social_science	philosophy_or_social_science_signal	philosophy	non_literature_context	0	26	long_fiction	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2882	Aria da Capo	28	qb_contextual	music_performance	music_or_performance_signal	literature	literature_dominant	23	5	drama	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2985	The Saga of King Olaf	28	qb_contextual	mythology	myth_or_oral_tradition_signal	other_academic	cross_category_literary	6	32	collection_or_cycle	collections_and_cycles	germanic_scandinavian	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
3066	The Song of the Reed Flute	28	qb_contextual	music_performance	music_or_performance_signal	other_academic	non_literature_context	0	24	poetry	poetry	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1807	Ragtime	24	qb_major	music_performance	music_or_performance_signal	fine_arts	non_literature_context	0	19	long_fiction	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
3208	Wichita Vortex Sutra	22	qb_contextual	religion	scripture_or_religious_text_signal	literature	literature_dominant	14	18	poetry	postwar_literature	biblical_religious	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
3235	The State as a Work of Art	22	qb_contextual	philosophy_social_science	philosophy_or_social_science_signal	other_academic	non_literature_context	0	18	poetry	early_modern_world_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2351	Win Ben Stein’s Money	21	qb_major	music_performance	music_or_performance_signal	pop_culture	non_literature_context	0	14	drama	drama	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2428	Theogony	21	qb_major	mythology	myth_or_oral_tradition_signal	mythology	non_literature_context	0	17	poetry	poetry	greek	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2335	Winterreise	20	qb_major	music_performance	music_or_performance_signal	fine_arts	non_literature_context	0	16	collection_or_cycle	collections_and_cycles	germanic_scandinavian	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
3436	The Neon Bible	20	qb_contextual	religion	scripture_or_religious_text_signal	other_academic	non_literature_context	0	19	long_fiction	postwar_literature	biblical_religious	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
3442	Requiem for a Futurologist	20	qb_contextual	music_performance	music_or_performance_signal	literature	literature_dominant	14	2	drama	classical_drama	greek	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
