rank	title	total_question_count	tier	creator_source	creator_confidence	creators	risk_level	risk_reasons	suggested_action
3956	The Yiddish Policemen	13	qb_contextual	quizbowl_author_answerline	medium	Michael Chabon	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3981	The Antitrust Paradox	13	qb_contextual	quizbowl_author_answerline	medium	the Robert Bork nomination/confirmation hearings	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4059	The Pears of the Elm	13	qb_contextual	quizbowl_author_answerline	medium	Octavio Paz	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4234	The Roman Actor	13	qb_contextual	quizbowl_author_answerline	medium	Philip Massinger	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3327	The Silmarillion	12	qb_contextual	quizbowl_author_answerline	medium	J.R.R. Tolkien /	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3469	Eurydice	12	qb_contextual	quizbowl_author_answerline	medium	Jean Anouilh	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3474	Hiroshima	12	qb_contextual	quizbowl_author_answerline	medium	Kenzaburo Oe	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3686	The Theory of the Novel	12	qb_contextual	quizbowl_author_answerline	medium	György Lukács (LOO-kahsh)	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3878	The Sunset Limited	12	qb_contextual	quizbowl_author_answerline	medium	Cormac McCarthy	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3902	The Affected Young Ladies	12	qb_contextual	quizbowl_author_answerline	medium	Moliere	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4084	The Brewing of Soma	12	qb_contextual	quizbowl_author_answerline	medium	John Greenleaf Whittier	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4184	Salve Deus Rex Judaeorum	12	qb_contextual	quizbowl_author_answerline	medium	the Dark Lady	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4193	The Torch in My Ear	12	qb_contextual	quizbowl_author_answerline	medium	Elias Canetti	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3520	Libra	11	qb_contextual	quizbowl_author_answerline	medium	Don DeLillo	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3613	The Palm-Wine Drunkard	11	qb_contextual	quizbowl_author_answerline	medium	Nigeria	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4007	The First Heavenly Adventure of Mr	11	qb_contextual	quizbowl_author_answerline	medium	Tristan Tzara	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3302	Electra	10	qb_contextual	quizbowl_author_answerline	medium	Sophocles	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3517	Thebaid	10	qb_contextual	quizbowl_author_answerline	medium	Publius Papinius Statius	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3586	Ward Number 6	10	qb_contextual	quizbowl_author_answerline	medium	Anton CHEKHOV	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3589	Experience	10	qb_contextual	quizbowl_author_answerline	medium	Ralph Waldo Emerson	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3590	Michael Kolhaas	10	qb_contextual	quizbowl_author_answerline	medium	Heinrich von Kleist	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3666	Carrie	10	qb_contextual	quizbowl_author_answerline	medium	Stephen Edwin King	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3983	The Viviparous Quadrupeds of North America	10	qb_contextual	quizbowl_author_answerline	medium	John James Audobon	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4121	The Good-Natur	10	qb_contextual	quizbowl_author_answerline	medium	Oliver Goldsmith	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4166	The Bigelow Papers	10	qb_contextual	quizbowl_author_answerline	medium	James Russell Lowell	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4177	Tropical Night Falling	10	qb_contextual	quizbowl_author_answerline	medium	Manuel Puig	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4182	The Quest for the Historical Jesus	10	qb_contextual	quizbowl_author_answerline	medium	Albert Schweitzer	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4356	Indian de	10	qb_contextual	quizbowl_author_answerline	medium	Jhumpa Lahiri	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4400	One Day I Will Write About This Place	10	qb_contextual	quizbowl_author_answerline	medium	Gikuyu language	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4808	The Tree of Diana	10	qb_contextual	quizbowl_author_answerline	medium	Alejandra Pizarnik	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3511	Seventeen	9	qb_contextual	quizbowl_author_answerline	medium	Newton Booth Tarkington	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4406	Romanticism and Christianity	9	qb_contextual	quizbowl_author_answerline	medium	letters by Moses Herzog	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4429	The Thousand Autumns of Jacob de Zoet	9	qb_contextual	quizbowl_author_answerline	medium	David Mitchell	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4512	Diary of the War of the Pig	9	qb_contextual	quizbowl_author_answerline	medium	Adolfo Bioy Casares	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4628	Jumpers and Arcadia	9	qb_contextual	quizbowl_author_answerline	medium	Tom Stoppard	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3748	The Eunuch	8	qb_contextual	quizbowl_author_answerline	medium	Terence	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4245	The Bloudy Tenent of Persecution	8	qb_contextual	quizbowl_author_answerline	medium	(Roger) Williams	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4299	Henderson the Rain King and Herzog	8	qb_contextual	quizbowl_author_answerline	medium	Saul Bellow	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4325	Around the World in 80 Days and 20	8	qb_contextual	quizbowl_author_answerline	medium	Jules Gabriel Verne	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4334	The American Churches	8	qb_contextual	quizbowl_author_answerline	medium	James Gillespie Birney	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4388	The Cosmological Eye	8	qb_contextual	quizbowl_author_answerline	medium	Henry Miller	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4392	Philoctetes and Electra	8	qb_contextual	quizbowl_author_answerline	medium	Sophocles	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4583	Living on a Lifeboat	8	qb_contextual	quizbowl_author_answerline	medium	Garrett Hardin	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
3985	Roland	7	qb_contextual	quizbowl_author_answerline	medium	Italy	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4401	Purple Hibiscus and Americanah	7	qb_contextual	quizbowl_author_answerline	medium	Chimamanda Ngozi Adichie	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4537	The Seven Story Mountain	7	qb_contextual	quizbowl_author_answerline	medium	Trappists	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4579	The Two Noble Kinsmen with Shakespeare	7	qb_contextual	quizbowl_author_answerline	medium	Beaumont and Fletcher	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4584	The French Lieutenant	7	qb_contextual	quizbowl_author_answerline	medium	John Fowles	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4594	Night of January 16	7	qb_contextual	quizbowl_author_answerline	medium	Ayn Rand	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4669	The River-merchant	7	qb_contextual	quizbowl_author_answerline	medium	Li Po or Li Bai	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4876	The House of Eccles Street	7	qb_contextual	quizbowl_author_answerline	medium	Elizabeth Costello	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4138	Zaire	6	qb_contextual	quizbowl_author_answerline	medium	Voltaire	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4496	White Buildings and The Bridge	6	qb_contextual	quizbowl_author_answerline	medium	Hart Crane	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4570	Nip the Bud	6	qb_contextual	quizbowl_author_answerline	medium	Kenzaburo Oe	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4612	Georgics and the Eclogues	6	qb_contextual	quizbowl_author_answerline	medium	Publius Vergilius Maro	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4626	Lyrical Ballads with Coleridge	6	qb_contextual	quizbowl_author_answerline	medium	William Wordsworth	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4637	How the Garc	6	qb_contextual	quizbowl_author_answerline	medium	Julia Alvarez	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4744	Shame de	6	qb_contextual	quizbowl_author_answerline	medium	Sir Ahmed Salman Rushdie	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4792	The Myth of the 20	6	qb_contextual	quizbowl_author_answerline	medium	Alfred _ROSENBERG	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4440	The Apology	5	qb_contextual	quizbowl_author_answerline	medium	Plato	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4603	Children of Gebelawi and the Cairo Trilogy	5	qb_contextual	quizbowl_author_answerline	medium	Naguib Mahfouz	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4715	Song of the Poorly Loved	5	qb_contextual	quizbowl_author_answerline	medium	Guilliaume Appolinaire	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4750	Theory of Electrodynamic Phenomena	4	qb_contextual	quizbowl_author_answerline	medium	Andre Marie _Ampere	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4783	4 BC to 65 AD	4	qb_contextual	quizbowl_author_answerline	medium	Seneca	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4806	The Shepheards Calender	4	qb_contextual	quizbowl_author_answerline	medium	Edmund Spencer	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4873	Wolf in White Van	4	qb_contextual	quizbowl_author_answerline	medium	John Darnielle	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4891	Theatre of the Balustrade	4	qb_contextual	quizbowl_author_answerline	medium	Vaclav Havel	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
4901	The Parsley Garden	4	qb_contextual	quizbowl_author_answerline	medium	William Saroyan	medium	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
